id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,1069,457,250,33,39,456.0,264.0,0.9972484111785889,0.9888371825218201,0,0,512,512
1,1220,89,16,38,40,120.0,40.0,0.9961925148963928,0.9821573495864868,0,0,512,512
2,95692,90,0,335,357,344.0,232.0,0.9858602285385132,0.9619157910346985,0,0,512,512
3,3226,474,297,37,117,504.0,360.0,0.9854595065116882,0.9812595844268799,0,0,512,512
4,279,448,13,18,18,456.0,24.0,0.9809837937355042,0.9928571581840515,0,0,512,512
5,24348,0,0,146,256,72.0,184.0,0.9789056777954102,0.9593149423599243,0,0,512,512
6,2319,123,372,54,53,152.0,424.0,0.9770994782447815,0.977011501789093,0,0,512,512
7,551,191,97,27,27,200.0,104.0,0.9755687713623047,0.987364649772644,0,0,512,512
8,5103,473,36,38,379,504.0,408.0,0.9734053611755371,0.9651923179626465,0,0,512,512
9,630,125,132,22,36,136.0,152.0,0.9685690402984619,0.9794952869415283,0,0,512,512
10,947,434,385,26,46,456.0,392.0,0.9685081839561462,0.9821428656578064,0,0,512,512
11,3056,0,446,70,65,24.0,472.0,0.9678431749343872,0.9840805530548096,0,0,512,512
12,10694,0,214,78,190,8.0,376.0,0.9673279523849487,0.9678042531013489,0,0,512,512
13,635,69,255,27,27,88.0,280.0,0.9669766426086426,0.973437488079071,0,0,512,512
14,469,307,420,21,26,328.0,424.0,0.9667868614196777,0.9873684048652649,0,0,512,512
15,8544,196,366,100,126,264.0,472.0,0.9667277336120605,0.9788071513175964,0,0,512,512
16,1122,254,80,45,47,280.0,120.0,0.9663989543914795,0.9604916572570801,0,0,512,512
17,282,184,2,20,19,200.0,8.0,0.9644526839256287,0.9825174808502197,0,0,512,512
18,360,26,125,20,23,40.0,136.0,0.9633613228797913,0.972752034664154,0,0,512,512
19,871,122,452,29,46,136.0,488.0,0.9628078937530518,0.9796149730682373,0,0,512,512
20,533,147,130,24,27,152.0,136.0,0.9604519605636597,0.9777365326881409,0,0,512,512
21,536,7,68,24,38,24.0,72.0,0.9584641456604004,0.9778597950935364,0,0,512,512
22,1321,241,156,43,41,280.0,168.0,0.9583428502082825,0.9709172248840332,0,0,512,512
23,2017,360,140,42,66,392.0,184.0,0.9578914046287537,0.9611650705337524,0,0,512,512
24,311,320,175,17,21,328.0,184.0,0.955988883972168,0.9904153347015381,0,0,512,512
25,447,166,117,22,28,184.0,136.0,0.9556716084480286,0.9800443649291992,0,0,512,512
26,200,315,208,12,19,328.0,216.0,0.9529547095298767,0.9950000047683716,0,0,512,512
27,1134,331,382,45,39,344.0,392.0,0.9514089822769165,0.9618717432022095,0,0,512,512
28,1301,441,10,38,55,472.0,24.0,0.9506462812423706,0.9638282060623169,0,0,512,512
29,444,489,418,22,26,504.0,424.0,0.9493634104728699,0.9820627570152283,0,0,512,512
30,2991,0,222,51,94,40.0,264.0,0.9473296999931335,0.956721305847168,0,0,512,512
31,166,33,170,12,17,40.0,184.0,0.9472089409828186,0.976190447807312,0,0,512,512
32,222,318,0,25,9,328.0,8.0,0.9464091658592224,0.9688888788223267,0,0,512,512
33,129,19,68,12,12,24.0,72.0,0.9461241960525513,0.9770992398262024,0,0,512,512
34,128,431,376,11,13,440.0,376.0,0.942686915397644,0.9844961166381836,0,0,512,512
35,217,113,93,17,15,120.0,104.0,0.9426726698875427,0.9862385392189026,0,0,512,512
36,255,372,444,16,22,376.0,456.0,0.9410902857780457,0.9656488299369812,0,0,512,512
37,178,191,359,16,13,200.0,360.0,0.9362580180168152,0.9832402467727661,0,0,512,512
38,1894,0,369,79,36,24.0,392.0,0.9360854625701904,0.9642671942710876,0,0,512,512
39,868,200,184,36,33,216.0,200.0,0.9358494877815247,0.9571589827537537,0,0,512,512
40,439,304,104,26,24,312.0,120.0,0.9338064193725586,0.953125,0,0,512,512
41,873,416,107,27,50,424.0,120.0,0.9333419799804688,0.9661399722099304,0,0,512,512
42,285,92,344,18,19,104.0,360.0,0.9292572140693665,0.9551724195480347,0,0,512,512
43,88,422,183,8,13,424.0,184.0,0.9247108101844788,1.0,0,0,512,512
44,285,295,402,17,22,296.0,408.0,0.9245378971099854,0.9722222089767456,0,0,512,512
45,191,324,135,17,16,328.0,136.0,0.9239334464073181,0.9895287752151489,0,0,512,512
46,320,99,139,18,24,104.0,152.0,0.9218443036079407,0.9570552110671997,0,0,512,512
47,210,167,333,16,17,168.0,344.0,0.9151467680931091,0.9811320900917053,0,0,512,512
48,172,255,201,16,14,264.0,200.0,0.9138116836547852,0.9604519605636597,0,0,512,512
49,161,485,45,11,16,488.0,56.0,0.9107055068016052,0.9631901979446411,0,0,512,512
50,149,406,189,12,15,408.0,200.0,0.9094962477684021,0.9673202633857727,0,0,512,512
51,377,416,107,22,22,424.0,120.0,0.9091967344284058,0.9686684012413025,0,0,512,512
52,280,480,139,18,18,488.0,152.0,0.9084180593490601,0.9681978821754456,0,0,512,512
53,868,295,404,33,42,328.0,424.0,0.8996297121047974,0.95168536901474,0,0,512,512
54,241,410,274,16,37,424.0,280.0,0.8964725136756897,0.9631147384643555,0,0,512,512
55,270,442,165,20,17,456.0,168.0,0.8854402899742126,0.9527272582054138,0,0,512,512
56,1833,488,184,23,141,488.0,296.0,0.8835307955741882,0.949999988079071,0,0,512,512
57,303,363,496,24,15,376.0,504.0,0.8806387782096863,0.9674267172813416,0,0,512,512
