id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,261925,0,0,511,511,152.0,488.0,1.0293750762939453,0.9798316955566406,0,0,512,512
1,1379,439,143,38,48,440.0,184.0,0.9793533682823181,0.9778254628181458,0,0,512,512
2,2021,487,250,24,139,504.0,312.0,0.9787800312042236,0.9832759499549866,0,0,512,512
3,2002,475,95,36,75,488.0,136.0,0.9768932461738586,0.9719763994216919,0,0,512,512
4,1071,198,155,37,39,216.0,184.0,0.9745132923126221,0.9705612063407898,0,0,512,512
5,374,220,490,22,21,232.0,504.0,0.97309809923172,0.9841269850730896,0,0,512,512
6,174,444,114,15,13,456.0,120.0,0.9649301171302795,0.9717513918876648,0,0,512,512
7,1122,101,365,30,48,104.0,392.0,0.9632827043533325,0.9813829660415649,0,0,512,512
8,615,141,67,32,26,152.0,72.0,0.9621165990829468,0.9505581855773926,0,0,512,512
9,1146,34,368,46,35,40.0,392.0,0.9606550931930542,0.9741379022598267,0,0,512,512
10,707,400,262,21,39,408.0,280.0,0.9584801197052002,0.9845505356788635,0,0,512,512
11,206,0,500,24,11,8.0,504.0,0.956624448299408,0.990338146686554,0,0,512,512
12,547,44,72,22,28,56.0,72.0,0.9563331604003906,0.989051103591919,0,0,512,512
13,1133,0,204,39,45,24.0,232.0,0.9558039307594299,0.9585849642753601,0,0,512,512
14,194,446,15,12,17,456.0,24.0,0.9551666378974915,0.9845361113548279,0,0,512,512
15,1426,448,70,46,43,472.0,72.0,0.9548133611679077,0.9695712327957153,0,0,512,512
16,1152,0,0,32,70,8.0,40.0,0.9533251523971558,0.971746563911438,0,0,512,512
17,1071,269,424,48,33,312.0,440.0,0.9529663324356079,0.9651376008987427,0,0,512,512
18,269,0,0,8,39,8.0,8.0,0.9528659582138062,0.9889298677444458,0,0,512,512
19,1063,0,162,39,32,24.0,184.0,0.9513581395149231,0.9549217820167542,0,0,512,512
20,360,145,413,20,21,152.0,424.0,0.9480178356170654,0.9917126893997192,0,0,512,512
21,1143,47,0,31,57,72.0,24.0,0.9473736882209778,0.9613401889801025,0,0,512,512
22,884,131,117,35,36,152.0,120.0,0.9467935562133789,0.9569536447525024,0,0,512,512
23,531,491,8,19,41,504.0,40.0,0.9462481737136841,0.9721707105636597,0,0,512,512
24,577,0,489,47,22,24.0,504.0,0.9451917409896851,0.9811643958091736,0,0,512,512
25,468,494,471,17,40,504.0,504.0,0.9450445771217346,0.9663158059120178,0,0,512,512
26,1150,0,387,24,63,8.0,424.0,0.9385457634925842,0.9551986455917358,0,0,512,512
27,752,254,341,30,34,280.0,360.0,0.9372368454933167,0.95703125,0,0,512,512
28,128,239,0,20,8,248.0,8.0,0.9370167851448059,0.9618320465087891,0,0,512,512
29,1034,0,111,45,36,40.0,136.0,0.9310654997825623,0.9535545110702515,0,0,512,512
30,202,0,194,15,16,8.0,200.0,0.9279232621192932,0.9658536314964294,0,0,512,512
31,226,443,76,16,16,456.0,88.0,0.926929235458374,0.9612069129943848,0,0,512,512
32,1535,157,212,42,58,168.0,248.0,0.9207376837730408,0.9511111378669739,0,0,512,512
33,182,273,161,15,15,280.0,168.0,0.9170181155204773,0.9572192430496216,0,0,512,512
34,567,131,0,38,18,152.0,8.0,0.9165518283843994,0.9534482955932617,0,0,512,512
35,155,298,0,17,10,312.0,8.0,0.902664065361023,0.9503105878829956,0,0,512,512
36,287,497,173,14,27,504.0,184.0,0.9005280137062073,0.9689655303955078,0,0,512,512
37,784,215,315,36,36,232.0,328.0,0.896568238735199,0.9526774883270264,0,0,512,512
38,87,31,113,10,9,40.0,120.0,0.8862587213516235,0.9555555582046509,0,0,512,512
